allTitle,view_uri
oc command line tool is throwing invalid character error,https://access.redhat.com/solutions/4034641
Debugging OpenShift 4.x,https://access.redhat.com/articles/3780981
Getting Journal Logs from the OpenShift 4.x kubelet,https://access.redhat.com/solutions/3802181
How to connect to Openshift Container Platform 4 Cluster nodes using ssh bastion pod?,https://access.redhat.com/solutions/4073041
What are the credentials for OpenShift 4 Router metrics?,https://access.redhat.com/solutions/4064271
What nameserver does a Pod use to resolve a hostname in OpenShift 4?,https://access.redhat.com/solutions/4064211
What is the default OpenShift CNI Plugin in OpenShift 4?,https://access.redhat.com/solutions/4064171
Authentication operator fails to upgrade,https://access.redhat.com/solutions/4059611
who-can command gives incorrect output,https://access.redhat.com/solutions/4058371
How to upgrade the Openshift 4 cluster?,https://access.redhat.com/solutions/4044181
/etc/ssl/etcd folder does not exist.,https://access.redhat.com/solutions/4045091
How to configure an HTPasswd identity provider in Openshift Container Platform 4?,https://access.redhat.com/solutions/4039941
Provide the same GUI and CLI URL to login in OpenShift 4.x ,https://access.redhat.com/solutions/4001061
Add wildcard certificate to router in OpenShift Container Platform 4,https://access.redhat.com/solutions/3999021
Where do the metrics for  the HPA come from in OCP 4.X?,https://access.redhat.com/solutions/3990701
" oc debug node command fails with ""unable to extract pod template from type *core.Node""",https://access.redhat.com/solutions/3988281
Backing up ETCD data with OpenShift Container Platform 4.x,https://access.redhat.com/solutions/3978571
ETCD Commands for OpenShift 4.x,https://access.redhat.com/solutions/3978611
How to access the integrated registry in OpenShift 4.x from outside the cluster,https://access.redhat.com/solutions/3967481
How to replace Web Console certificate in OpenShift 4.x,https://access.redhat.com/solutions/3964921
How to delete temp user `kubeadmin` in OpenShift 4.x,https://access.redhat.com/solutions/3959711
How to view bootkube log in OpenShift 4.x,https://access.redhat.com/solutions/3959311
OpenShift installer does not show `libvirt` for possible platform,https://access.redhat.com/solutions/3959111
etcd image based on Alpine Linux in OpenShift 4.x,https://access.redhat.com/solutions/3932911
OpenShift v0.13 installer failing with error '4 of 4 credentials requests are failing to sync',https://access.redhat.com/solutions/3954631
KubeVersionMismatch: There are 2 different versions of Kubernetes components running,https://access.redhat.com/solutions/3952471
Capturing debug information  to diagnose the cluster problems,https://access.redhat.com/solutions/3934981
How to deploy node problem detector in Openshift 4?,https://access.redhat.com/solutions/3935401
Prometheus alerts show CPUThrottlingHigh alerts.,https://access.redhat.com/solutions/3922791
How can I run the 4.0 install multiple times using an existing install-config,https://access.redhat.com/solutions/3925051
Allow Customer-Provisioned VPC & network components with OpenShift Container Platform,https://access.redhat.com/solutions/3906641
"OpenShift 4 install on AWS stuck with ""Still creating...""",https://access.redhat.com/solutions/3924971
Why does installer check another region that is not running the OCP 4 cluster when it deletes a cluster.,https://access.redhat.com/solutions/3923151
"Cluster Operators UI shows error ""version"" of undefined",https://access.redhat.com/solutions/3923311
Project in 'Terminating' state,https://access.redhat.com/solutions/3881901
